test,comparison,year,level,share_disadvantaged_pct,share_not_disadvantaged_pct,odds_disadvantaged,odds_not_disadvantaged,odds_ratio_not_over_disadvantaged
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2022,standard nearly met (level 2),19.02,22.56,0.2349,0.2913,1.2401
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2022,standard not met (level 1),67.99,43.1,2.124,0.7575,0.3566
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2023,standard exceeded (level 4),3.8,16.41,0.0395,0.1963,4.9696
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2023,standard met or exceeded (levels 3-4),13.48,34.75,0.1558,0.5326,3.4185
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2023,"standard met, not exceeded (level 3)",9.67,18.34,0.1071,0.2246,2.0971
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2023,standard nearly met (level 2),19.28,22.39,0.2389,0.2885,1.2076
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2023,standard not met (level 1),67.24,42.86,2.0525,0.7501,0.3655
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2024,standard exceeded (level 4),4.27,16.58,0.0446,0.1988,4.4574
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2024,standard met or exceeded (levels 3-4),14.74,34.93,0.1729,0.5368,3.1047
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2024,"standard met, not exceeded (level 3)",10.47,18.35,0.1169,0.2247,1.9222
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2024,standard nearly met (level 2),19.42,22.18,0.241,0.285,1.1826
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2024,standard not met (level 1),65.84,42.9,1.9274,0.7513,0.3898
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2025,standard exceeded (level 4),5.85,18.61,0.0621,0.2287,3.6828
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2025,standard met or exceeded (levels 3-4),17.55,37.35,0.2129,0.5962,2.8004
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2025,"standard met, not exceeded (level 3)",11.7,18.74,0.1325,0.2306,1.7404
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2025,standard nearly met (level 2),19.74,21.67,0.246,0.2767,1.1248
CAASPP grade 11 mathematics,"LCFF+ vs. other high schools (student-weighted, all reporting)",2025,standard not met (level 1),62.71,40.98,1.6817,0.6943,0.4129
NAEP grade 8 mathematics,all California students (NAEP sample),2015,at NAEP Advanced,1.97,13.0,0.0201,0.1494,7.4328
NAEP grade 8 mathematics,all California students (NAEP sample),2015,at or above NAEP Proficient,15.54,44.82,0.184,0.8123,4.4147
NAEP grade 8 mathematics,all California students (NAEP sample),2015,at or above NAEP Basic,52.7,80.78,1.1142,4.2029,3.7721
NAEP grade 8 mathematics,all California students (NAEP sample),2015,"at NAEP Proficient, not Advanced",13.57,31.81,0.157,0.4665,2.9713
NAEP grade 8 mathematics,all California students (NAEP sample),2015,"at NAEP Basic, not Proficient",37.16,35.96,0.5913,0.5615,0.9496
NAEP grade 8 mathematics,all California students (NAEP sample),2015,below NAEP Basic,47.3,19.22,0.8975,0.2379,0.2651
NAEP grade 8 mathematics,all California students (NAEP sample),2017,at NAEP Advanced,2.32,18.44,0.0238,0.2261,9.5
NAEP grade 8 mathematics,all California students (NAEP sample),2017,at or above NAEP Proficient,14.7,47.33,0.1723,0.8986,5.2153
