year,subject,grade,percentile,scale_score
2016,math,7,10,2372
2016,math,7,20,2428
2016,math,7,30,2469
2016,math,7,40,2502
2016,math,7,50,2529
2016,math,7,60,2556
2016,math,7,70,2586
2016,math,7,80,2622
2016,math,7,90,2670
2016,math,7,99,2772
2017,math,7,1,2259
2017,math,7,10,2370
2017,math,7,20,2423
2017,math,7,30,2463
2017,math,7,40,2496
2017,math,7,50,2527
2017,math,7,60,2557
2017,math,7,70,2590
2017,math,7,80,2626
2017,math,7,90,2676
2017,math,7,99,2778
2018,math,7,1,2253
2018,math,7,10,2366
2018,math,7,20,2419
2018,math,7,30,2460
2018,math,7,40,2495
2018,math,7,50,2527
2018,math,7,60,2558
2018,math,7,70,2591
2018,math,7,80,2629
2018,math,7,90,2679
2018,math,7,99,2778
2019,math,7,1,2265
2019,math,7,10,2369
2019,math,7,20,2420
2019,math,7,30,2461
2019,math,7,40,2495
2019,math,7,50,2527
2019,math,7,60,2559
2019,math,7,70,2594
2019,math,7,80,2632
2019,math,7,90,2683
2019,math,7,99,2778
2022,math,7,1,2250
2022,math,7,10,2353
2022,math,7,20,2403
2022,math,7,30,2443
2022,math,7,40,2476
2022,math,7,50,2507
2022,math,7,60,2539
2022,math,7,70,2574
2022,math,7,80,2613
2022,math,7,90,2668
2022,math,7,99,2797
2023,math,7,1,2250
2023,math,7,10,2353
2023,math,7,20,2403
2023,math,7,30,2443
2023,math,7,40,2476
2023,math,7,50,2508
2023,math,7,60,2542
2023,math,7,70,2578
2023,math,7,80,2619
2023,math,7,90,2675
2023,math,7,99,2804
2024,math,7,1,2250
2024,math,7,10,2352
2024,math,7,20,2402
2024,math,7,30,2443
2024,math,7,40,2478
2024,math,7,50,2511
2024,math,7,60,2545
2024,math,7,70,2580
2024,math,7,80,2620
2024,math,7,90,2676
2024,math,7,99,2811
2025,math,7,1,2250
2025,math,7,10,2354
2025,math,7,20,2407
2025,math,7,30,2450
2025,math,7,40,2485
2025,math,7,50,2518
2025,math,7,60,2553
2025,math,7,70,2589
2025,math,7,80,2632
2025,math,7,90,2688
2025,math,7,99,2820
2015,math,8,1,2265
2015,math,8,10,2382
2015,math,8,20,2432
2015,math,8,30,2469
2015,math,8,40,2502
2015,math,8,50,2532
2015,math,8,60,2563
2015,math,8,70,2597
2015,math,8,80,2636
2015,math,8,90,2689
2015,math,8,99,2802
2016,math,8,1,2265
2016,math,8,10,2386
2016,math,8,20,2437
2016,math,8,30,2475
2016,math,8,40,2507
2016,math,8,50,2538
2016,math,8,60,2571
2016,math,8,70,2606
2016,math,8,80,2647
2016,math,8,90,2701
2016,math,8,99,2802
2017,math,8,1,2269
2017,math,8,10,2377
2017,math,8,20,2430
2017,math,8,30,2470
2017,math,8,40,2503
2017,math,8,50,2535
2017,math,8,60,2571
2017,math,8,70,2610
2017,math,8,80,2653
2017,math,8,90,2708
2017,math,8,99,2802
2018,math,8,1,2265
2018,math,8,10,2371
2018,math,8,20,2427
2018,math,8,30,2469
2018,math,8,40,2503
2018,math,8,50,2537
2018,math,8,60,2574
2018,math,8,70,2613
2018,math,8,80,2656
2018,math,8,90,2713
2018,math,8,99,2802
2019,math,8,1,2269
2019,math,8,10,2371
2019,math,8,20,2424
2019,math,8,30,2465
2019,math,8,40,2501
2019,math,8,50,2535
2019,math,8,60,2573
2019,math,8,70,2612
2019,math,8,80,2656
2019,math,8,90,2714
2019,math,8,99,2802
2022,math,8,1,2265
2022,math,8,10,2353
2022,math,8,20,2406
2022,math,8,30,2445
2022,math,8,40,2478
2022,math,8,50,2510
2022,math,8,60,2544
2022,math,8,70,2582
2022,math,8,80,2629
2022,math,8,90,2693
2022,math,8,99,2840
2023,math,8,1,2265
2023,math,8,10,2349
2023,math,8,20,2403
2023,math,8,30,2442
2023,math,8,40,2476
2023,math,8,50,2509
2023,math,8,60,2545
2023,math,8,70,2585
2023,math,8,80,2633
2023,math,8,90,2698
2023,math,8,99,2848
2024,math,8,1,2265
2024,math,8,10,2351
2024,math,8,20,2406
2024,math,8,30,2448
2024,math,8,40,2482
2024,math,8,50,2515
2024,math,8,60,2552
2024,math,8,70,2592
2024,math,8,80,2642
2024,math,8,90,2709
2024,math,8,99,2860
2025,math,8,1,2265
2025,math,8,10,2352
2025,math,8,20,2409
2025,math,8,30,2452
2025,math,8,40,2488
2025,math,8,50,2523
2025,math,8,60,2561
2025,math,8,70,2603
2025,math,8,80,2653
2025,math,8,90,2720
2025,math,8,99,2860
2015,math,11,1,2280
2015,math,11,10,2400
2015,math,11,20,2450
2015,math,11,30,2489
2015,math,11,40,2524
2015,math,11,50,2557
2015,math,11,60,2591
2015,math,11,70,2626
2015,math,11,80,2669
2015,math,11,90,2727
2015,math,11,99,2854
2016,math,11,1,2288
2016,math,11,10,2405
2016,math,11,20,2456
2016,math,11,30,2495
2016,math,11,40,2532
2016,math,11,50,2567
2016,math,11,60,2601
2016,math,11,70,2636
2016,math,11,80,2678
2016,math,11,90,2734
2016,math,11,99,2855
2017,math,11,1,2280
2017,math,11,10,2398
2017,math,11,20,2450
2017,math,11,30,2490
2017,math,11,40,2527
2017,math,11,50,2563
2017,math,11,60,2598
2017,math,11,70,2636
2017,math,11,80,2679
2017,math,11,90,2738
2017,math,11,99,2862
2018,math,11,1,2280
2018,math,11,10,2395
2018,math,11,20,2444
2018,math,11,30,2483
2018,math,11,40,2521
2018,math,11,50,2558
2018,math,11,60,2595
2018,math,11,70,2633
2018,math,11,80,2677
2018,math,11,90,2738
2018,math,11,99,2862
2019,math,11,1,2280
2019,math,11,10,2395
2019,math,11,20,2444
2019,math,11,30,2483
2019,math,11,40,2521
2019,math,11,50,2559
2019,math,11,60,2597
2019,math,11,70,2636
2019,math,11,80,2683
2019,math,11,90,2745
2019,math,11,99,2862
2022,math,11,1,2280
2022,math,11,10,2369
2022,math,11,20,2425
2022,math,11,30,2465
2022,math,11,40,2500
2022,math,11,50,2536
2022,math,11,60,2573
2022,math,11,70,2614
2022,math,11,80,2664
2022,math,11,90,2732
2022,math,11,99,2888
2023,math,11,1,2280
2023,math,11,10,2369
2023,math,11,20,2425
2023,math,11,30,2465
2023,math,11,40,2501
2023,math,11,50,2537
2023,math,11,60,2575
2023,math,11,70,2616
2023,math,11,80,2665
2023,math,11,90,2734
2023,math,11,99,2888
2024,math,11,1,2280
2024,math,11,10,2371
2024,math,11,20,2428
2024,math,11,30,2468
2024,math,11,40,2504
2024,math,11,50,2539
2024,math,11,60,2577
2024,math,11,70,2618
2024,math,11,80,2668
2024,math,11,90,2736
2024,math,11,99,2897
2025,math,11,1,2280
2025,math,11,10,2375
2025,math,11,20,2433
2025,math,11,30,2474
2025,math,11,40,2511
2025,math,11,50,2548
2025,math,11,60,2587
2025,math,11,70,2630
2025,math,11,80,2681
2025,math,11,90,2750
2025,math,11,99,2900
