year,subject,grade,percentile,scale_score
2016,ela,5,50,2498
2016,ela,5,60,2525
2016,ela,5,70,2553
2016,ela,5,80,2583
2016,ela,5,90,2623
2016,ela,5,99,2701
2017,ela,5,1,2263
2017,ela,5,10,2354
2017,ela,5,20,2399
2017,ela,5,30,2433
2017,ela,5,40,2463
2017,ela,5,50,2492
2017,ela,5,60,2520
2017,ela,5,70,2549
2017,ela,5,80,2581
2017,ela,5,90,2621
2017,ela,5,99,2701
2018,ela,5,1,2271
2018,ela,5,10,2360
2018,ela,5,20,2404
2018,ela,5,30,2440
2018,ela,5,40,2471
2018,ela,5,50,2500
2018,ela,5,60,2528
2018,ela,5,70,2557
2018,ela,5,80,2587
2018,ela,5,90,2627
2018,ela,5,99,2701
2019,ela,5,1,2277
2019,ela,5,10,2366
2019,ela,5,20,2411
2019,ela,5,30,2447
2019,ela,5,40,2478
2019,ela,5,50,2506
2019,ela,5,60,2535
2019,ela,5,70,2563
2019,ela,5,80,2593
2019,ela,5,90,2632
2019,ela,5,99,2701
2022,ela,5,1,2243
2022,ela,5,10,2350
2022,ela,5,20,2397
2022,ela,5,30,2433
2022,ela,5,40,2464
2022,ela,5,50,2493
2022,ela,5,60,2522
2022,ela,5,70,2553
2022,ela,5,80,2587
2022,ela,5,90,2630
2022,ela,5,99,2725
2023,ela,5,1,2239
2023,ela,5,10,2345
2023,ela,5,20,2394
2023,ela,5,30,2430
2023,ela,5,40,2462
2023,ela,5,50,2492
2023,ela,5,60,2522
2023,ela,5,70,2553
2023,ela,5,80,2588
2023,ela,5,90,2634
2023,ela,5,99,2730
2024,ela,5,1,2232
2024,ela,5,10,2341
2024,ela,5,20,2392
2024,ela,5,30,2431
2024,ela,5,40,2464
2024,ela,5,50,2494
2024,ela,5,60,2524
2024,ela,5,70,2555
2024,ela,5,80,2590
2024,ela,5,90,2635
2024,ela,5,99,2730
2025,ela,5,1,2242
2025,ela,5,10,2349
2025,ela,5,20,2399
2025,ela,5,30,2436
2025,ela,5,40,2468
2025,ela,5,50,2498
2025,ela,5,60,2528
2025,ela,5,70,2559
2025,ela,5,80,2593
2025,ela,5,90,2639
2025,ela,5,99,2730
2015,ela,6,1,2303
2015,ela,6,10,2390
2015,ela,6,20,2431
2015,ela,6,30,2462
2015,ela,6,40,2489
2015,ela,6,50,2513
2015,ela,6,60,2537
2015,ela,6,70,2563
2015,ela,6,80,2593
2015,ela,6,90,2632
2015,ela,6,99,2713
2016,ela,6,1,2293
2016,ela,6,10,2389
2016,ela,6,20,2434
2016,ela,6,30,2468
2016,ela,6,40,2497
2016,ela,6,50,2523
2016,ela,6,60,2549
2016,ela,6,70,2576
2016,ela,6,80,2606
2016,ela,6,90,2644
2016,ela,6,99,2724
2017,ela,6,1,2299
2017,ela,6,10,2385
2017,ela,6,20,2432
2017,ela,6,30,2467
2017,ela,6,40,2496
2017,ela,6,50,2523
2017,ela,6,60,2549
2017,ela,6,70,2576
2017,ela,6,80,2606
2017,ela,6,90,2644
2017,ela,6,99,2724
2018,ela,6,1,2288
2018,ela,6,10,2382
2018,ela,6,20,2429
2018,ela,6,30,2466
2018,ela,6,40,2497
2018,ela,6,50,2525
2018,ela,6,60,2551
2018,ela,6,70,2578
2018,ela,6,80,2608
2018,ela,6,90,2647
2018,ela,6,99,2724
2019,ela,6,1,2294
2019,ela,6,10,2388
2019,ela,6,20,2436
2019,ela,6,30,2472
2019,ela,6,40,2503
2019,ela,6,50,2531
2019,ela,6,60,2557
2019,ela,6,70,2584
2019,ela,6,80,2614
2019,ela,6,90,2652
2019,ela,6,99,2724
2022,ela,6,1,2274
2022,ela,6,10,2376
2022,ela,6,20,2423
2022,ela,6,30,2458
2022,ela,6,40,2488
2022,ela,6,50,2517
2022,ela,6,60,2545
2022,ela,6,70,2574
2022,ela,6,80,2607
2022,ela,6,90,2649
2022,ela,6,99,2746
2023,ela,6,1,2271
2023,ela,6,10,2371
2023,ela,6,20,2418
2023,ela,6,30,2454
2023,ela,6,40,2485
2023,ela,6,50,2514
2023,ela,6,60,2542
2023,ela,6,70,2572
2023,ela,6,80,2606
2023,ela,6,90,2649
2023,ela,6,99,2746
2024,ela,6,1,2271
2024,ela,6,10,2372
2024,ela,6,20,2420
2024,ela,6,30,2457
2024,ela,6,40,2489
2024,ela,6,50,2518
2024,ela,6,60,2548
2024,ela,6,70,2578
2024,ela,6,80,2611
2024,ela,6,90,2652
2024,ela,6,99,2746
2025,ela,6,1,2270
2025,ela,6,10,2374
2025,ela,6,20,2425
2025,ela,6,30,2463
2025,ela,6,40,2495
2025,ela,6,50,2525
2025,ela,6,60,2554
2025,ela,6,70,2583
2025,ela,6,80,2616
2025,ela,6,90,2659
2025,ela,6,99,2757
2015,ela,7,1,2320
2015,ela,7,10,2403
2015,ela,7,20,2443
2015,ela,7,30,2476
2015,ela,7,40,2505
2015,ela,7,50,2534
2015,ela,7,60,2561
2015,ela,7,70,2588
2015,ela,7,80,2618
2015,ela,7,90,2657
2015,ela,7,99,2742
2016,ela,7,1,2321
2016,ela,7,10,2406
2016,ela,7,20,2451
2016,ela,7,30,2486
2016,ela,7,40,2517
2016,ela,7,50,2545
2016,ela,7,60,2573
2016,ela,7,70,2601
2016,ela,7,80,2632
2016,ela,7,90,2671
2016,ela,7,99,2745
2017,ela,7,1,2306
2017,ela,7,10,2399
2017,ela,7,20,2450
2017,ela,7,30,2489
2017,ela,7,40,2521
2017,ela,7,50,2550
2017,ela,7,60,2576
2017,ela,7,70,2603
2017,ela,7,80,2634
2017,ela,7,90,2674
2017,ela,7,99,2745
2018,ela,7,1,2303
2018,ela,7,10,2399
2018,ela,7,20,2451
2018,ela,7,30,2491
2018,ela,7,40,2523
2018,ela,7,50,2552
2018,ela,7,60,2579
2018,ela,7,70,2606
2018,ela,7,80,2636
2018,ela,7,90,2675
2018,ela,7,99,2745
2019,ela,7,1,2309
2019,ela,7,10,2400
2019,ela,7,20,2452
2019,ela,7,30,2492
2019,ela,7,40,2526
2019,ela,7,50,2555
2019,ela,7,60,2582
2019,ela,7,70,2610
2019,ela,7,80,2642
2019,ela,7,90,2683
2019,ela,7,99,2745
2022,ela,7,1,2267
2022,ela,7,10,2390
2022,ela,7,20,2446
2022,ela,7,30,2486
2022,ela,7,40,2519
2022,ela,7,50,2549
2022,ela,7,60,2578
2022,ela,7,70,2607
2022,ela,7,80,2639
2022,ela,7,90,2682
2022,ela,7,99,2780
2023,ela,7,1,2264
2023,ela,7,10,2381
2023,ela,7,20,2437
2023,ela,7,30,2479
2023,ela,7,40,2513
2023,ela,7,50,2544
2023,ela,7,60,2574
2023,ela,7,70,2604
2023,ela,7,80,2637
2023,ela,7,90,2680
2023,ela,7,99,2776
2024,ela,7,1,2260
2024,ela,7,10,2377
2024,ela,7,20,2433
2024,ela,7,30,2476
2024,ela,7,40,2511
2024,ela,7,50,2543
2024,ela,7,60,2574
2024,ela,7,70,2604
2024,ela,7,80,2638
2024,ela,7,90,2682
2024,ela,7,99,2782
2025,ela,7,1,2262
2025,ela,7,10,2382
2025,ela,7,20,2441
2025,ela,7,30,2484
2025,ela,7,40,2519
2025,ela,7,50,2550
2025,ela,7,60,2580
2025,ela,7,70,2611
2025,ela,7,80,2644
2025,ela,7,90,2688
2025,ela,7,99,2787
2015,ela,8,1,2340
2015,ela,8,10,2427
2015,ela,8,20,2468
2015,ela,8,30,2499
2015,ela,8,40,2527
2015,ela,8,50,2554
2015,ela,8,60,2581
2015,ela,8,70,2608
2015,ela,8,80,2638
2015,ela,8,90,2676
2015,ela,8,99,2757
2016,ela,8,1,2336
2016,ela,8,10,2426
2016,ela,8,20,2470
2016,ela,8,30,2504
2016,ela,8,40,2534
2016,ela,8,50,2563
2016,ela,8,60,2591
2016,ela,8,70,2618
2016,ela,8,80,2648
2016,ela,8,90,2687
2016,ela,8,99,2769
2017,ela,8,1,2324
2017,ela,8,10,2421
2017,ela,8,20,2467
2017,ela,8,30,2502
2017,ela,8,40,2533
2017,ela,8,50,2562
2017,ela,8,60,2591
2017,ela,8,70,2620
2017,ela,8,80,2652
2017,ela,8,90,2690
2017,ela,8,99,2769
2018,ela,8,1,2325
2018,ela,8,10,2418
2018,ela,8,20,2465
2018,ela,8,30,2501
2018,ela,8,40,2533
2018,ela,8,50,2564
2018,ela,8,60,2593
2018,ela,8,70,2622
2018,ela,8,80,2654
2018,ela,8,90,2692
2018,ela,8,99,2769
2019,ela,8,1,2326
2019,ela,8,10,2418
2019,ela,8,20,2465
2019,ela,8,30,2502
2019,ela,8,40,2534
2019,ela,8,50,2565
2019,ela,8,60,2595
2019,ela,8,70,2625
2019,ela,8,80,2657
2019,ela,8,90,2697
2019,ela,8,99,2769
2022,ela,8,1,2290
2022,ela,8,10,2402
2022,ela,8,20,2455
2022,ela,8,30,2493
2022,ela,8,40,2526
2022,ela,8,50,2556
2022,ela,8,60,2586
2022,ela,8,70,2617
2022,ela,8,80,2651
2022,ela,8,90,2695
2022,ela,8,99,2793
2023,ela,8,1,2290
2023,ela,8,10,2392
2023,ela,8,20,2448
2023,ela,8,30,2488
2023,ela,8,40,2521
2023,ela,8,50,2553
2023,ela,8,60,2584
2023,ela,8,70,2616
2023,ela,8,80,2651
